"lemma","poscode","surface"
"Operador","3","Operador","Operadora"
"Ejecutivo","3","Ejecutivo","Ejecutiva"
"Analista","3","Analista"
"Contador","3","Contador","contador","Contadora"
"Comprador","3","Comprador","Compradora"
"Gerente","3","Gerente"
"Auditor","3","Auditor","Auditora"
"Administrador","3","Administrador","Administradora"
